study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJNA260763	SAMN03031126	SRX703502	SRR1577858	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/008/SRR1577858/SRR1577858_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/008/SRR1577858/SRR1577858_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR157/008/SRR1577858
PRJNA260763	SAMN03031127	SRX703503	SRR1577860	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/000/SRR1577860/SRR1577860_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/000/SRR1577860/SRR1577860_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR157/000/SRR1577860
PRJNA260763	SAMN03031128	SRX703504	SRR1577862	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/002/SRR1577862/SRR1577862_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/002/SRR1577862/SRR1577862_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR157/002/SRR1577862
PRJNA260763	SAMN03031129	SRX703505	SRR1577863	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/003/SRR1577863/SRR1577863_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/003/SRR1577863/SRR1577863_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR157/003/SRR1577863
PRJNA260763	SAMN03031130	SRX703506	SRR1577864	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/004/SRR1577864/SRR1577864_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/004/SRR1577864/SRR1577864_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR157/004/SRR1577864
PRJNA260763	SAMN03031131	SRX703507	SRR1577865	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/005/SRR1577865/SRR1577865_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/005/SRR1577865/SRR1577865_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR157/005/SRR1577865
PRJNA260763	SAMN03031132	SRX703508	SRR1577866	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/006/SRR1577866/SRR1577866_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/006/SRR1577866/SRR1577866_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR157/006/SRR1577866
PRJNA260763	SAMN03031133	SRX703509	SRR1577867	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/007/SRR1577867/SRR1577867_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/007/SRR1577867/SRR1577867_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR157/007/SRR1577867
PRJNA260763	SAMN03031134	SRX703510	SRR1577868	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/008/SRR1577868/SRR1577868_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/008/SRR1577868/SRR1577868_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR157/008/SRR1577868
PRJNA260763	SAMN03031135	SRX703511	SRR1577869	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/009/SRR1577869/SRR1577869_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/009/SRR1577869/SRR1577869_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR157/009/SRR1577869
PRJNA260763	SAMN03031136	SRX703512	SRR1577870	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/000/SRR1577870/SRR1577870_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/000/SRR1577870/SRR1577870_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR157/000/SRR1577870
PRJNA260763	SAMN03031137	SRX703519	SRR1577871	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/001/SRR1577871/SRR1577871_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/001/SRR1577871/SRR1577871_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR157/001/SRR1577871
PRJNA260763	SAMN03031138	SRX703532	SRR1577872	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/002/SRR1577872/SRR1577872_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/002/SRR1577872/SRR1577872_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR157/002/SRR1577872
PRJNA260763	SAMN03031139	SRX703533	SRR1577873	9823	Sus scrofa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/003/SRR1577873/SRR1577873_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/003/SRR1577873/SRR1577873_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR157/003/SRR1577873
