study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB9326	SAMEA3375684	ERX953604	ERR874001	315377	Sus cebifrons	ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874001/ERR874001_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874001/ERR874001_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874001/ABGSA0077_SCEB02M01_R1.PF.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874001/ABGSA0077_SCEB02M01_R2.PF.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR874/ERR874001
PRJEB9326	SAMEA3375684	ERX953605	ERR874002	315377	Sus cebifrons	ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874002/ERR874002_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874002/ERR874002_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874002/ABGSA0087_SCEB02M01_R1.PF.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874002/ABGSA0087_SCEB02M01_R2.PF.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR874/ERR874002
PRJEB9326	SAMEA3375684	ERX953606	ERR874003	315377	Sus cebifrons	ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874003/ERR874003_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874003/ERR874003_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874003/ABGSA0127_SCEB02M01_R1.PF.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874003/ABGSA0127_SCEB02M01_R2.PF.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR874/ERR874003
PRJEB9326	SAMEA3375684	ERX953607	ERR874004	315377	Sus cebifrons	ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874004/ERR874004_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874004/ERR874004_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874004/ABGSA0233_SCEB02M01_ATGTCA_L00M_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874004/ABGSA0233_SCEB02M01_ATGTCA_L00M_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR874/ERR874004
PRJEB9326	SAMEA3375684	ERX953608	ERR874005	315377	Sus cebifrons	ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874005/ERR874005_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874005/ERR874005_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874005/ABGSA0236_SCEB02M01_2_ATGTCA_L00M_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874005/ABGSA0236_SCEB02M01_2_ATGTCA_L00M_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR874/ERR874005
PRJEB9326	SAMEA3375684	ERX953609	ERR874006	315377	Sus cebifrons	ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874006/ERR874006_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874006/ERR874006_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874006/ABGSA0319_SCEB02M01_ATGTCA_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874006/ABGSA0319_SCEB02M01_ATGTCA_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR874/ERR874006
PRJEB9326	SAMEA3375685	ERX953610	ERR874007	315377	Sus cebifrons	ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874007/ERR874007_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874007/ERR874007_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874007/ABGSA0148_SCEB02M02.R1.PF.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874007/ABGSA0148_SCEB02M02.R2.PF.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR874/ERR874007
PRJEB9326	SAMEA3375685	ERX953611	ERR874008	315377	Sus cebifrons	ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874008/ERR874008_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874008/ERR874008_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874008/ABGSA0158_SCEB02M02_R1_PF.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874008/ABGSA0158_SCEB02M02_R2_PF.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR874/ERR874008
PRJEB9326	SAMEA3375686	ERX953612	ERR874009	315377	Sus cebifrons	ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874009/ERR874009_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874009/ERR874009_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874009/ABGSA0025_SCEB01F01_1_1_sequence.txt.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874009/ABGSA0025_SCEB01F01_1_2_sequence.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR874/ERR874009
PRJEB9326	SAMEA3375686	ERX953613	ERR874010	315377	Sus cebifrons	ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874010/ERR874010_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874010/ERR874010_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874010/ABGSA0025_SCEB01F01_2_1_sequence.txt.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874010/ABGSA0025_SCEB01F01_2_2_sequence.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR874/ERR874010
PRJEB9326	SAMEA3375686	ERX953614	ERR874011	315377	Sus cebifrons	ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874011/ERR874011_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874011/ERR874011_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874011/ABGSA0025_SCEB01F01_3_1_sequence.txt.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874011/ABGSA0025_SCEB01F01_3_2_sequence.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR874/ERR874011
PRJEB9326	SAMEA3375686	ERX953615	ERR874012	315377	Sus cebifrons	ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874012/ERR874012_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874012/ERR874012_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874012/ABGSA0025_SCEB01F01_4_1_sequence.txt.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874012/ABGSA0025_SCEB01F01_4_2_sequence.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR874/ERR874012
PRJEB9326	SAMEA3375686	ERX953616	ERR874013	315377	Sus cebifrons	ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874013/ERR874013_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR874/ERR874013/ERR874013_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874013/ABGSA0025_SCEB01F01_5_1_sequence.txt.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR874/ERR874013/ABGSA0025_SCEB01F01_5_2_sequence.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR874/ERR874013
